City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Arraial Do Cabo,BR,2021-01-24 22:35:09,-22.9661,-42.0278,80.6,78,40,17.27
154,Athabasca,CA,2021-01-24 22:36:28,54.7169,-113.2854,-7.6,71,100,9.22
155,Maarianhamina,AX,2021-01-24 22:32:41,60.0973,19.9348,33.8,86,90,6.91
156,Pandan,PH,2021-01-24 22:35:34,14.0453,124.1694,78.06,87,6,4.7
157,East London,ZA,2021-01-24 22:34:21,-33.0153,27.9116,68.49,65,93,10.0
158,Nanortalik,GL,2021-01-24 22:35:14,60.1432,-45.2371,21.0,87,0,13.31
159,Barcelona,ES,2021-01-24 22:36:29,41.3888,2.159,55.0,62,20,14.97
160,Katsuura,JP,2021-01-24 22:35:05,35.1333,140.3,42.8,87,40,14.97
161,Bathsheba,BB,2021-01-24 22:34:31,13.2167,-59.5167,78.8,73,40,12.66
162,Chiche,GT,2021-01-24 22:36:29,15.0086,-91.065,77.0,52,20,4.88
163,Touros,BR,2021-01-24 22:34:53,-5.1989,-35.4608,75.2,94,75,6.91
164,Massaguet,TD,2021-01-24 22:36:30,12.4755,15.4365,71.6,24,39,5.75
165,Floresta,BR,2021-01-24 22:36:30,-8.6011,-38.5686,80.98,51,93,11.59
166,Kitui,KE,2021-01-24 22:36:30,-1.367,38.0106,67.68,77,90,2.57
167,Melivoia,GR,2021-01-24 22:36:30,39.75,22.8,54.0,66,40,13.8
168,Norman Wells,CA,2021-01-24 22:35:24,65.282,-126.8329,-11.2,77,90,4.61
169,Bengkulu,ID,2021-01-24 22:34:49,-3.8004,102.2655,77.05,81,88,4.34
170,Whithorn,JM,2021-01-24 22:36:30,18.2604,-78.0378,82.0,74,20,12.66
171,Chauny,FR,2021-01-24 22:36:31,49.6151,3.2186,35.01,100,90,10.36
172,Huambo,AO,2021-01-24 22:36:31,-12.7761,15.7392,61.48,62,81,4.34
173,Sciacca,IT,2021-01-24 22:36:31,37.5082,13.0881,48.0,81,9,7.0
174,Tiarei,PF,2021-01-24 22:35:38,-17.5333,-149.3333,87.8,62,20,12.66
175,Pevek,RU,2021-01-24 22:34:22,69.7008,170.3133,-18.36,88,100,7.85
176,Markova,UA,2021-01-24 22:36:32,48.6758,24.4138,34.2,90,94,2.66
177,Millbrook,US,2021-01-24 22:36:32,32.4799,-86.3619,68.0,64,90,5.75
178,Morros,BR,2021-01-24 22:34:47,-9.4467,-46.3003,76.14,58,15,3.56
179,Shimoda,JP,2021-01-24 22:34:51,34.6667,138.95,39.99,90,54,14.38
180,San Carlos De Bariloche,AR,2021-01-24 22:35:54,-41.1456,-71.3082,71.6,21,0,27.63
181,Mumford,GH,2021-01-24 22:36:32,5.2618,-0.759,78.3,85,47,7.34
182,Pangai,TO,2021-01-24 22:36:32,-19.8,-174.35,75.2,100,90,5.75
183,Georgetown,MY,2021-01-24 22:30:12,5.4112,100.3354,80.01,89,40,4.61
184,Kahului,US,2021-01-24 22:29:43,20.8947,-156.47,87.8,42,20,8.05
185,Brezno,SK,2021-01-24 22:36:33,48.8043,19.6363,30.0,66,100,4.05
186,Derzhavinsk,KZ,2021-01-24 22:36:33,51.1,66.3167,8.26,94,100,19.26
187,Gombong,ID,2021-01-24 22:36:33,-7.6072,109.5142,55.0,10,88,3.2
