City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
143,Mount Gambier,AU,-37.8333,140.7667,77.0,44,97,12.66,overcast clouds,2021-01-24 23:39:14
144,Santa Cruz,BO,-17.8,-63.1667,80.6,69,40,16.11,scattered clouds,2021-01-24 23:36:47
145,Tainan,TW,22.9908,120.2133,64.0,88,40,11.5,mist,2021-01-24 23:39:14
146,Lesosibirsk,RU,58.2358,92.4828,-36.02,81,99,5.57,overcast clouds,2021-01-24 23:39:15
147,Luanda,AO,-8.8368,13.2343,78.8,78,20,6.91,few clouds,2021-01-24 23:39:15
148,Namibe,AO,-15.1961,12.1522,75.13,75,99,5.01,overcast clouds,2021-01-24 23:39:15
149,Dunedin,NZ,-45.8742,170.5036,64.99,64,80,5.99,broken clouds,2021-01-24 23:32:00
150,Port Alfred,ZA,-33.5906,26.891,64.0,92,80,13.58,broken clouds,2021-01-24 23:35:41
151,Labuhan,ID,-6.8844,112.2051,77.32,89,100,8.86,moderate rain,2021-01-24 23:39:15
152,Boromo,BF,11.75,-2.9333,70.66,19,0,6.89,clear sky,2021-01-24 23:39:15
153,Provideniya,RU,64.3833,-173.3,6.8,66,40,8.95,scattered clouds,2021-01-24 23:39:15
154,Gizo,SB,-8.103,156.8419,83.8,65,56,7.34,broken clouds,2021-01-24 23:37:06
155,Ales,FR,44.1333,4.0833,44.01,73,73,3.22,broken clouds,2021-01-24 23:39:16
156,Bibiani,GH,6.4635,-2.3194,68.04,74,0,1.1,clear sky,2021-01-24 23:39:16
157,Alofi,NU,-19.0595,-169.9187,84.2,74,75,5.75,light rain,2021-01-24 23:39:16
158,Pisco,PE,-13.7,-76.2167,75.2,69,0,19.57,clear sky,2021-01-24 23:39:16
159,Hamilton,US,39.1834,-84.5333,34.0,86,90,2.8,light rain,2021-01-24 23:39:16
160,Chokurdakh,RU,70.6333,147.9167,-31.52,82,100,12.48,overcast clouds,2021-01-24 23:39:16
161,Moissala,TD,8.3404,17.7663,74.44,21,35,4.63,scattered clouds,2021-01-24 23:39:17
162,Chicama,PE,-7.8447,-79.1469,74.44,67,83,5.06,broken clouds,2021-01-24 23:39:17
